Year	Afghanistan	Albania	Algeria	Angola	Antigua and Barbuda	Argentina	Armenia	Azerbaijan	Bahamas	Bahrain	Bangladesh	Barbados	Belarus	Belize	Benin	Bhutan	Bolivia (Plurinational State of)	Bosnia and Herzegovina	Botswana	Brazil	Brunei Darussalam	Bulgaria	Burkina Faso	Burundi	Cabo Verde	Cambodia	Cameroon	Central African Republic	Chad	Chile	China	Colombia	Comoros	Congo	Costa Rica	Cuba	Cyprus	Czechia	Democratic Republic of the Congo	Djibouti	Dominica	Dominican Republic	Ecuador	Egypt	El Salvador	Equatorial Guinea	Eritrea	Estonia	Eswatini	Ethiopia	Fiji	Gabon	Gambia	Georgia	Ghana	Grenada	Guatemala	Guinea	Guinea-Bissau	Guyana	Haiti	Honduras	Hungary	India	Indonesia	Iran (Islamic Republic of)	Iraq	Israel	Jamaica	Jordan	Kazakhstan	Kenya	Kiribati	Kuwait	Kyrgyzstan	Lao People's Democratic Republic	Latvia	Lebanon	Lesotho	Liberia	Libya	Lithuania	Madagascar	Malawi	Malaysia	Maldives	Mali	Malta	Marshall Islands	Mauritania	Mauritius	Mexico	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nauru	Nepal	Nicaragua	Niger	Nigeria	Oman	Pakistan	Palau	Panama	Papua New Guinea	Paraguay	Peru	Philippines	Poland	Qatar	Republic of Korea	Republic of Moldova	Romania	Russian Federation	Rwanda	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and the Grenadines	Samoa	Sao Tome and Principe	Saudi Arabia	Senegal	Serbia	Seychelles	Sierra Leone	Singapore	Slovakia	Slovenia	Solomon Islands	Somalia	South Africa	South Sudan	Sri Lanka	State of Palestine	Sudan	Suriname	Syrian Arab Republic	Tajikistan	Thailand	Timor-Leste	Togo	Tonga	Trinidad and Tobago	Tunisia	Turkey	Turkmenistan	Tuvalu	Uganda	Ukraine	United Arab Emirates	United Republic of Tanzania	Uruguay	Uzbekistan	Vanuatu	Venezuela (Bolivarian Republic of)	Viet Nam	Yemen	Zambia	Zimbabwe
1960			32.10836992												0.00822498				6.82270722	0.54835718	0.12238853		0.04141396				0.07340272					-0.44713711			3.1635416							0.05464113	1.47458277	6.69885983	0.48439823				25.22446438		2.74473936				0.44308946			0.04579064		13.23859404				1.61942908	0.94676915		0.19890935	51.08528424		94.61988177		2.59972752							1.86321154						1.62818084			39.39636941		0.04703796	0.80299984	0.20544395								0.85303797	4.69226188				5.63608315		11.74752134	0.0044329		-0.96208664	1.96918575			9.89793714											0.0405394		26.43531816		-0.1408336							1.12309759		3.65696964		4.02097805		1.597973		0.06959788				4.9981182			3.04414369			1.03062515	7.48035953		2.35519487	0.0982579			0.29959815	
1961			38.62888359							5.59860391					0.60019507				10.64975197	3.91205433	5.61009805		0.27581529				1.34720524					3.16819058			5.13326592							0.04403629	2.51809099	4.3034776	2.95791369				33.31915788		2.48008563		3.83958572		0.43368485			0.71226113		15.91789238	3.6048094	3.5012286		1.34145662	1.26306358		0.09096565	50.05483346	6.1111997	94.24189223		7.5474238						6.87005852	4.85407281	23.52263569					2.24642456			31.07368138		1.15351318	8.09955084	2.17368707			8.75884031					1.04506943	5.12632181				5.48656787		8.69662041	0.00435341	5.17254064	-1.62349184	0.69953108			8.78507032								0.26758955			0.07283144		23.55157796		0.00591856							1.11060131		1.85083292		3.43082759		1.03953397		1.83408944		0.09250544		6.68918917			3.03988181			3.78768279	0.85547126		4.26179606	1.03326586			0.28758063	
1962			34.21995617							7.79715851					1.49826381				10.0042571	2.35236991	8.15788319		0.89308607				1.75041164					2.86609921			6.4185478							6.27375383	2.788409	6.68889683	2.2277665				19.39141227		25.65969293		6.71253995		0.79327306		2.23553728	2.82159843		13.72289595	1.3684414	2.72771812		1.4438349	1.70485051		0.28406808	47.62333236	7.51565785	80.86899121		5.68058142						4.77848839	6.82289897	67.78376895					2.51025699			27.92872537		2.48422408	6.1434033	0.92373945			6.09321658					0.86646915	3.95247286				8.0465884		9.63867859		1.58471106	0.68654593	1.08664121			8.80983391				3.62274112				0.77741693			3.79118601		11.27447619		0.58571643							1.26350198		1.22311978		5.12365159		1.302915		2.80884781		0.62540084		7.96279756			3.98708452			4.41327463	1.3671889		6.04782199	9.14354501			1.80332422	
1963			23.66446206							3.5926395					1.67527647				9.9497471	2.35132382	0.42762454		0.82341995				1.61287276					4.03290341		5.15211045	5.4555665	-0.02230005						13.0342398	3.27945627	7.17284643	3.89835284				18.16507483		10.15349385		13.20830133		2.46708141		2.30442377	6.34434815		9.87824873	0.76627327	3.30218818		2.04132778	1.13823781		0.65408274	48.87428693	2.02505197	78.69839759		6.22612285						4.12090903	6.3652501	28.60388871					1.41857544			54.06286775		1.74429498	8.09861061	0.07380185			7.01194703					1.52952197	3.9974516				10.03941259		15.0134034	0.00419121	4.22745762	0.85786898	0.7569117			9.52846847				2.16396052				1.42197539			3.21111756		14.36717069		0.34648989							1.01816312		1.84511287		0.53827097		1.21233877		4.07535927		12.91555164		7.54011949			2.62542962			2.83182389	3.30534606		7.29154739	4.85162748			1.60114333	2.59887814
1964			18.64228891							3.17133975					6.98773094				16.18997186	2.90496822	0.7156074		3.02026453				4.91933517			12.63793135		2.31854557		15.78170089	7.48080152	0.05645906						6.25744758	3.72998959	7.93729112	4.09381215				34.92002629		7.63531613		6.43919869		2.68723236		2.57053483	3.78488582		7.94876445	0.9598742	4.69727779		2.48750054	0.68547382		1.58577746	39.78800699	2.31115148	68.53204728		6.14896378		-2.0759613				1.45010537	6.26274524	12.92383213	11.15226948				1.85652923			61.07308011		12.62549715	2.92175155	-0.53143388			7.31581136					1.80731414	4.62501943				10.28298307		8.54793925		4.09818053	1.77188396	2.44269718			6.08619649				2.28805608				1.7025278			16.04919867		20.5788344	4.07837138	0.24529617							0.81843493		2.36006887		0.90378685		1.03137399		8.98877461		13.32786747		5.35903383			2.91354905			4.04136995	0.83665275		9.01325609	-5.72733711			6.06084924	1.05717199
1965			11.65097553							4.69503604					6.79238112		8.75741054		18.39298886	2.81324294	0.78132628		3.33727941				5.5910256	9.62367628		11.7446738		2.12547316		13.71832377	9.46112382	0.07288107						20.39059575	3.98933636	4.03377601	4.53251957				40.70335032		9.39736213		10.48714646		5.97199072		2.854377	6.3182079		10.72307881	1.44643921	4.97441398		2.5729111	0.42755811		1.27987854	49.3229397	5.61910329	58.7506993		7.56860058		-2.7116805				3.79473271	10.28941532	28.35907794	4.55199216				2.32822813			51.328524		9.43293859	2.90727397	1.10937705			7.49183271					1.62946711	4.4721011				9.79732571		24.93384224	33.21755105	4.27655548	4.74580258	2.98932418			7.63058506				2.52508397				1.81023969			12.90294915		33.12885956	6.98501668	1.21416999			30.91766268				1.34553463		3.35800286		0.60858303		1.54261166		7.81912517		17.81205623		6.11532716			2.51938951		0.13346234	3.32020131	1.11336382		7.80955436	1.45579762			3.04161968	0.83199551
1966			9.83675712							50.62961148		6.77724888			5.56268293		7.28681068		31.26108984	3.74484379	0.74575385		3.20754298				8.22183352	9.36032397		13.48979042		4.32734188		21.21703928	7.74432292	0.08995147						13.07816733	4.70605838	3.11291544	6.36317298				27.59105871		8.62722242		8.64064984		7.83109498		2.06456326	3.71815035		13.04705076	1.03194302	4.02931067		2.45216383	0.82921281		0.47276888	43.42021486	5.73988991	60.70731934		5.624551		-2.75245677				3.94080927	13.31495709	29.80859917	1.10883861				3.07964699			54.04467528		21.35631361	5.69156416	0.79569867			6.7288549					1.37838069	5.92409009				7.19209088		14.63976335	33.70105495	4.15558494	3.60292075	1.4285636			7.79878548				3.58554146				3.21415442			11.56917189		19.42924011	4.00536149	1.22963157			37.66090956				2.62550555		4.16786253		3.65371843		1.35105752		6.83757799		9.83444619		6.39930561			2.85353522		8.12606625	2.8726517	1.71510148		28.40611682	2.85854194			7.927858	0.08651754
1967			8.10846231							0.25502398		2.49301733			5.94814202		7.11861622		31.26187768	2.05223293	0.62252103		3.6720773				6.25535023	12.04116809		9.97842463		4.8045348		15.41555941	7.59101862	0.08951931						14.20290591	4.89387328	1.02943222	4.2923979				24.21724698		5.79950105		7.05542609		5.567576		2.93182056	2.02991795		16.79339447	0.99427885	3.53520605		2.65587714	2.19089161		0.45599853	26.98252995	5.41222777	38.79636982		3.60344009		-2.4949582				3.99129654	14.3201709	19.69253238	1.06979251				2.29934922			49.99116421		11.92539208	6.6006262	0.76709773			4.16008059					1.2465996	5.13356589			1.42398999	9.03947276		12.13209117	37.83858802	5.31692695	3.55537824	2.63405064			8.56872851				3.92587099				5.81304336			12.32675352		45.79278783	2.8843213	3.77284312			41.2884757				4.00252194		1.58390826		1.01207134		1.78247871		7.61001368		5.93364025	18.88397968	6.08812218			2.52384554		9.24791511	3.24824991	2.02175126		25.60346463	2.46241679		4.25195343	16.06950377	0.07950082
1968	2.7488788		8.75392773							0.99675061		3.58285467			4.70699843		9.77772783		28.04273715	2.43032523	0.2544594		4.19760883				7.71759981	9.91286592		8.01153177		5.76256263		17.04471653	6.81470962	0.07725634						10.18231883	3.94203991	0.78158617	3.10487302				19.40921179		12.44628663		13.31539742		7.47436883		3.12899494	1.52004084		22.09448723	1.28830231	6.33414833		1.73920209	2.99715224		0.24728187	23.15676133	8.79579219	30.48325224		5.76001169	25.93508067	0.01580001				8.61691078	13.39862568	12.24156278	3.51215912				2.49272115		4.8245616	52.36790044		19.44274604	12.06292284	0.55996071			6.05529403					0.93933763	4.99862436			0.07357356	7.0896721		8.99157693	41.48855967	4.4814335	2.61316967	1.92956376			7.75703267				4.55544854				7.92819552			12.26424695		49.20196884	4.05822803	2.30861305			44.63362438				4.35765731		3.3403024		0.87940224		1.87028881		9.72362202	19.48788844	4.94202776	14.83111203	5.25100924			2.51324593		6.18771216	3.1817957	8.84400527		28.88919102	1.72019403		1.03301341	7.73181651	0.42493767
1969	2.50142926		9.33242579							0.67948961		5.46303397			4.60946383		7.57988623		21.85516967	1.4995697	0.2427263		4.34139893	4.37328596			5.90678499	11.13628285		7.7524827		5.07772401		13.31504233	7.69790836	0.15301251						7.86622513	2.98369841	0.29374128	3.550626				23.37971854		17.16669152		8.13336069		8.36500541		2.47552147	3.28795892		26.01535392	0.90124094	4.70139492		1.66688662	2.94035614		0.44754702	20.12725297	7.1742995	30.00444458		5.11517309	27.45339876	0.47897449				4.10139445	12.99319691	11.97951031	3.56195761				2.92149452		3.9614993	46.88020842		10.62234133	6.64254859	0.43387485			4.95821427	0.00340288				0.91595389	6.93574287		1.5554571	0.05708373	5.79365254		11.17522	43.72877032	5.81338485	2.5273344	2.31700346			10.72475908				4.84459277				3.63002235			13.36454671		25.22881878	3.27102681	7.5202236			48.1172887				4.08188398		0.89307146		1.79017806		1.90498313		8.58517969	7.12035787	6.98902264	23.36384988	5.05499978			3.01275601		4.28354089	2.90840645	6.95876325		38.83261009	1.06170599	10.97592242	0.78070649	5.0052648	0.12716856
