Year	Afghanistan	Albania	Algeria	Angola	Antigua and Barbuda	Argentina	Armenia	Azerbaijan	Bahamas	Bahrain	Bangladesh	Barbados	Belarus	Belize	Benin	Bhutan	Bolivia (Plurinational State of)	Bosnia and Herzegovina	Botswana	Brazil	Brunei Darussalam	Bulgaria	Burkina Faso	Burundi	Cabo Verde	Cambodia	Cameroon	Central African Republic	Chad	Chile	China	Colombia	Comoros	Congo	Costa Rica	Cuba	Cyprus	Czechia	Democratic Republic of the Congo	Djibouti	Dominica	Dominican Republic	Ecuador	Egypt	El Salvador	Equatorial Guinea	Eritrea	Estonia	Eswatini	Ethiopia	Fiji	Gabon	Gambia	Georgia	Ghana	Grenada	Guatemala	Guinea	Guinea-Bissau	Guyana	Haiti	Honduras	Hungary	India	Indonesia	Iran (Islamic Republic of)	Iraq	Israel	Jamaica	Jordan	Kazakhstan	Kenya	Kiribati	Kuwait	Kyrgyzstan	Lao People's Democratic Republic	Latvia	Lebanon	Lesotho	Liberia	Libya	Lithuania	Madagascar	Malawi	Malaysia	Maldives	Mali	Malta	Marshall Islands	Mauritania	Mauritius	Mexico	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nauru	Nepal	Nicaragua	Niger	Nigeria	Oman	Pakistan	Palau	Panama	Papua New Guinea	Paraguay	Peru	Philippines	Poland	Qatar	Republic of Korea	Republic of Moldova	Romania	Russian Federation	Rwanda	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and the Grenadines	Samoa	Sao Tome and Principe	Saudi Arabia	Senegal	Serbia	Seychelles	Sierra Leone	Singapore	Slovakia	Slovenia	Solomon Islands	Somalia	South Africa	South Sudan	Sri Lanka	State of Palestine	Sudan	Suriname	Syrian Arab Republic	Tajikistan	Thailand	Timor-Leste	Togo	Tonga	Trinidad and Tobago	Tunisia	Turkey	Turkmenistan	Tuvalu	Uganda	Ukraine	United Arab Emirates	United Republic of Tanzania	Uruguay	Uzbekistan	Vanuatu	Venezuela (Bolivarian Republic of)	Viet Nam	Yemen	Zambia	Zimbabwe
1960			0.00440076												0.00519325				0.00239093	0.00163202	0.00155433		0.00843271				0.0043947					0.00173094			0.00117449							0.00222207	0.00231465	0.0046191	0.00261575				0.00306318		0.00084884				0.00360575			0.00614711		0.00101956				0.00322432	0.00304823		0.00247306	0.00018539		0.00197192		0.00369257							0.00191457						0.00099015			0.00011183		0.00549403	0.00136358	0.00202248								0.00464421	0.00317912				0.0026991		0.00093292	0.00260389		0.00397026	0.00153016			0.00128494											0.00778575		0.00105741		0.00045924							0.00091792		0.00298217		0.00240646		0.00176131		0.00491994				0.00371632			0.00411669			0.00444164	0.00014535		0.00216678	0.00083667			0.00370818	
1961			0.00440874							0.00233474					0.00515519				0.00229964	0.00156894	0.00136746		0.00832472				0.00432506					0.0016558			0.00117218							0.00217392	0.002219	0.00442458	0.00254865				0.00300863		0.00078577		0.0092875		0.00358819			0.00607759		0.00095202	0.00390847	0.00303615		0.00316125	0.00295692		0.00227869	0.00016553	0.00078071	0.00188812		0.00352221						0.00065215	0.00191232	0.00471241					0.00089869			0.00010178		0.00531187	0.00126353	0.00190787			0.00425535					0.00454688	0.00310203				0.00259641		0.00089537	0.00249842	0.00083958	0.00381588	0.00145484			0.00119786								0.00131119			0.00777051		0.00105982		0.00039595							0.00085476		0.00292272		0.00224465		0.00168441		0.00485063		0.00038852		0.00356011			0.00401428			0.00440044	0.0001431		0.00208524	0.00079403			0.00365259	
1962			0.00443414							0.00210812					0.00511128				0.00219941	0.00150927	0.00119574		0.00821901				0.00427286					0.00158376			0.00108627							0.00211672	0.00212822	0.00422976	0.00247852				0.00294727		0.00072568		0.00908167		0.00357397		0.00309346	0.00601147		0.00089232	0.00383412	0.00290354		0.0030998	0.00286203		0.00211331	0.0001486	0.00074441	0.00182062		0.00336764						0.00062068	0.00191916	0.00471349					0.00081348			9.478E-05		0.00512039	0.00115565	0.00180354			0.00411351					0.00444209	0.00301734				0.00249406		0.00085659		0.00082574	0.00365321	0.00139148			0.00111256				0.00419399				0.00123523			0.00777459		0.00103541		0.00034282							0.0008091		0.00286752		0.00210238		0.00161002		0.0047955		0.00036728		0.00339935			0.00391571			0.00435901	0.00014018		0.00199136	0.00075559			0.00359867	
1963			0.00446016							0.00189736					0.00506319				0.00210755	0.0014511	0.00103699		0.00811606				0.00422663					0.00151225		0.00266451	0.00096465	0.00021093						0.00204997	0.00204345	0.00404134	0.00240062				0.00289969		0.00067155		0.00887949		0.00356473		0.00297704	0.00594109		0.00084166	0.00376157	0.00277663		0.00303873	0.00276376		0.00197543	0.00013462	0.00070671	0.00175108		0.00323604						0.00058992	0.00193102	0.00469292					0.00073392			8.781E-05		0.00493356	0.00106773	0.00171211			0.00396782					0.00432651	0.00292924				0.0023986		0.00081767	0.00230349	0.00081249	0.0034859	0.00133563			0.00102418				0.00414244				0.00117104			0.00779055		0.00101019		0.00030178							0.00077178		0.00281943		0.00197452		0.00153506		0.004736		0.00034755		0.00324005			0.00382155			0.00430645	0.00013737		0.00190152	0.00072123			0.0035499	0.00226624
1964			0.00447443							0.00170596					0.0050109				0.00201508	0.00139481	0.00090984		0.00802782				0.00417027			0.00067752		0.00144208		0.00259207	0.00084938	0.00021172						0.00197651	0.00196472	0.00387001	0.00232862				0.00283742		0.00062148		0.00866893		0.00356437		0.002865	0.00586791		0.00079801	0.00368151	0.00265609		0.00298052	0.00266134		0.00185972	0.00012397	0.00067081	0.00166636		0.0031197		0.00097193				0.00056388	0.00194189	0.00466128	0.00354894				0.00066102			8.413E-05		0.00474501	0.00101514	0.00162724			0.00381139					0.0042068	0.0028403				0.0023097		0.00078115		0.00080167	0.00331528	0.00128564			0.00093255				0.0041027				0.0011107			0.00780283		0.00096326	0.00712701	0.00026928							0.00073641		0.00277376		0.00185969		0.00146196		0.00465443		0.00032683		0.00308488			0.00373191			0.00425313	0.00013507		0.00180265	0.00068982			0.00350542	0.00217264
1965			0.00448216							0.00152055					0.00495449		0.00405213		0.00193751	0.00134023	0.00080086		0.00795034				0.00409783	0.00415562		0.00060403		0.00137323		0.0025169	0.00078602	0.0002106						0.001898	0.00189303	0.00371853	0.00225501				0.00277061		0.00057764		0.00844647		0.00357337		0.0027554	0.00579897		0.00075936	0.00360013	0.00253623		0.00292506	0.00255512		0.00176318	0.00011605	0.00063592	0.00156271		0.00302702		0.00090036				0.00054053	0.00194838	0.00461407	0.00321293				0.00059749			7.758E-05		0.00455722	0.00100626	0.00154857			0.00364817					0.00408497	0.00274418				0.00222833		0.00074543	0.00210547	0.00079132	0.00315078	0.0012395			0.00083919				0.00407073				0.00104679			0.0077977		0.00094043	0.00701651	0.00024124			0.00164456				0.00069833		0.00273235		0.00175056		0.00138958		0.00454165		0.0003082		0.00293265			0.00365349		0.00160155	0.00419318	0.0001336		0.00171002	0.00066166			0.0034707	0.00208111
1966			0.00448025							0.00134004		0.00024991			0.00489568		0.00391799		0.00186378	0.00128591	0.00072711		0.00789539				0.00400161	0.00400474		0.00053153		0.00130396		0.00243768	0.00079084	0.00020713						0.00181659	0.00182945	0.00359202	0.00218127				0.00269918		0.00053946		0.00822908		0.0035913		0.00265142	0.0057289		0.00072985	0.00351114	0.00241841		0.00286946	0.00244814		0.00167873	0.00011021	0.00060263	0.00144192		0.00294911		0.00083721				0.00052185	0.00194415	0.00455767	0.00290183				0.00054208			7.437E-05		0.00436869	0.00104995	0.00147597			0.00348104					0.00396911	0.00265247				0.00215669		0.00070983	0.00201088	0.00078046	0.00299474	0.00119674			0.0007462				0.00404585				0.0009872			0.00776433		0.00087745	0.00690396	0.00021414			0.00153906				0.0006555		0.00269369		0.0016412		0.00131785		0.00440356		0.00028938		0.00278824			0.00357188		0.00145644	0.00412893	0.00013221		0.00161012	0.00063497			0.00344165	0.00200093
1967			0.00444866							0.00117821		0.00022817			0.00483529		0.00378551		0.00179251	0.0012322	0.00065809		0.00782516				0.00388308	0.00385587		0.00047132		0.00123272		0.00236153	0.00080802	0.00020118						0.00173656	0.00177194	0.00349015	0.00210871				0.00262691		0.00050822		0.00800709		0.0036097		0.00255202	0.00566043		0.00070725	0.00341218	0.0023017		0.00281287	0.00234003		0.00159912	0.00010576	0.00056784	0.00131835		0.00287539		0.00077967				0.00050259	0.00192875	0.00448799	0.00260902				0.0004955			6.512E-05		0.00418678	0.00108439	0.00140842			0.00331181					0.00385146	0.00256496			0.00394173	0.00209269		0.00067512	0.00192235	0.0007696	0.00284592	0.00115556			0.00065487				0.0040314				0.00092412			0.0077207		0.00083817	0.00677796	0.0001889			0.00143822				0.00061204		0.00266341		0.00153309		0.00124427		0.00424479		0.0002702	0.00287879	0.00265608			0.00349549		0.00133123	0.00406068	0.00013054		0.00151583	0.00060822		0.0060658	0.00341322	0.00192999
1968	0.00494535		0.00439189							0.00102167		0.00020654			0.0047747		0.00365373		0.00172042	0.00117752	0.0006107		0.0077642				0.00375044	0.00370657		0.00042624		0.00115894		0.00228831	0.00074384	0.00019302						0.00165672	0.00171742	0.0034034	0.00203755				0.00256084		0.00047901		0.00779772		0.00362387		0.00245688	0.00559774		0.00068644	0.00330923	0.00219001		0.00275366	0.0022308		0.00152008	0.0001031	0.00053454	0.00120453		0.00280334	0.00178304	0.00072838				0.00048445	0.00190204	0.00441086	0.00233446				0.00045436		0.00947181	5.905E-05		0.0040173	0.00101359	0.00134184			0.0031455					0.0037433	0.00247944			0.00373165	0.00203362		0.00063917	0.00183578	0.00075683	0.00270889	0.00111883			0.00056866				0.00403843				0.00085101			0.00766098		0.00078003	0.00665201	0.00016676			0.00133434				0.00057457		0.00263552		0.00142675		0.00116879		0.0040904	0.00049336	0.00025247	0.00267893	0.00253533			0.00343337		0.00119374	0.00398821	0.0001283		0.00141346	0.00058062		0.00590251	0.00336883	0.00187195
1969	0.00485745		0.00430026							0.00087363		0.00018911			0.00471084		0.00352019		0.00163914	0.00112094	0.00055018		0.00770309	0.00454992			0.00360778	0.00356406		0.00039594		0.00108249		0.00222021	0.00059292	0.0001835						0.00157667	0.00166571	0.00332984	0.00196598				0.00248604		0.00045712		0.00758153		0.00362159		0.00236373	0.00553861		0.00067266	0.00320202	0.00208188		0.00269433	0.00211824		0.00144144	0.00010073	0.00050063	0.0011067		0.00273008	0.00165118	0.00068072				0.00046924	0.00186498	0.00432638	0.00207455				0.00041917		0.0093184	5.607E-05		0.00387599	0.00084385	0.00127774			0.0029847	0.00404705				0.00364083	0.00239217		0.00499556	0.00351065	0.00198005		0.00060075	0.00175261	0.00074252	0.00258141	0.00108583			0.00049252				0.00406452				0.00079006			0.00756848		0.00072362	0.00652646	0.00014795			0.00123361				0.00054507		0.00261271		0.0013248		0.00109174		0.00395842	0.00043446	0.00023475	0.00248558	0.00242244			0.00339028		0.00103396	0.00391667	0.00012486		0.00132658	0.00055104	0.00099149	0.00573524	0.0033052	0.00182868
